regMid,regEnd,Final,attendance,status
44,33,34,71,Fail (total < 50)
15,51,3,56,Summer course (Final < 25)
94,45,68,54,Summer course (low attendance)
62,0,6,77,Summer course (Final < 25)
63,63,68,87,Pass (after retake)
60,76,0,62,Summer course (Final < 25)
100,83,42,52,Summer course (low attendance)
68,13,22,92,Summer course (Final < 25)
40,68,98,42,Summer course (low attendance)
20,34,3,69,Summer course (Final < 25)
6,10,66,70,Summer course (low mid/end)
7,52,65,84,Summer course (low mid/end)
31,20,72,98,Summer course (low mid/end)
61,66,55,48,Summer course (low attendance)
54,37,39,93,Fail (total < 50)
5,36,66,75,Summer course (low mid/end)
55,58,58,80,FX  (retake opportunity)
62,89,12,97,Summer course (Final < 25)
79,46,84,57,Summer course (low attendance)
88,65,15,75,Summer course (Final < 25)
15,45,45,83,Summer course (low mid/end)
25,38,21,58,Fail (total < 45)
44,38,84,52,Summer course (low attendance)
28,71,17,75,Summer course (Final < 25)
50,34,46,81,Fail (total < 50)
49,46,77,44,Summer course (low attendance)
56,55,54,99,FX  (retake opportunity)
22,25,0,81,Summer course (Final < 25)
35,41,29,71,Fail (total < 50)
23,13,75,71,Summer course (low mid/end)
71,43,19,61,Summer course (Final < 25)
84,41,12,82,Summer course (Final < 25)
23,7,0,67,Summer course (Final < 25)
78,69,79,89,Pass
88,99,77,40,Summer course (low attendance)
100,47,75,56,Summer course (low attendance)
55,63,49,54,Summer course (low attendance)
100,42,84,49,Summer course (low attendance)
50,53,47,51,Summer course (low attendance)
57,88,37,40,Summer course (low attendance)
51,90,86,52,Summer course (low attendance)
37,45,11,51,Summer course (Final < 25)
10,21,82,84,Summer course (low mid/end)
87,12,12,88,Summer course (Final < 25)
53,40,10,83,Summer course (Final < 25)
59,57,63,85,FX  (retake opportunity)
98,11,7,50,Summer course (Final < 25)
42,34,36,62,Fail (total < 50)
71,65,68,89,Pass (after retake)
98,40,6,55,Summer course (Final < 25)
100,99,97,95,Scholarship
16,2,10,51,Fail (total < 45)
77,73,90,97,Pass
60,47,69,57,Summer course (low attendance)
20,34,64,78,Summer course (low mid/end)
30,21,10,78,Summer course (Final < 25)
46,61,52,100,FX  (retake opportunity)
66,75,4,81,Summer course (Final < 25)
68,47,70,45,Summer course (low attendance)
100,57,56,50,Summer course (low attendance)
62,50,63,64,FX  (retake opportunity)
13,43,14,66,Fail (total < 45)
17,1,60,72,Summer course (low mid/end)
94,90,94,97,Scholarship
91,46,100,43,Summer course (low attendance)
49,31,55,78,Summer course (low mid/end)
42,16,56,92,Summer course (low mid/end)
94,76,81,42,Summer course (low attendance)
38,12,60,80,Summer course (low mid/end)
36,34,45,71,Fail (total < 50)
31,46,36,92,Fail (total < 50)
27,26,43,62,Fail (total < 45)
52,49,45,89,Fail (total < 50)
37,48,46,73,Fail (total < 50)
89,87,86,98,Pass
28,18,67,82,Summer course (low mid/end)
72,57,64,98,Pass (after retake)
42,31,31,75,Fail (total < 45)
79,84,87,86,Pass
19,74,19,51,Summer course (Final < 25)
33,23,72,84,Summer course (low mid/end)
53,95,46,45,Summer course (low attendance)
55,58,47,86,FX  (retake opportunity)
49,73,22,58,Summer course (Final < 25)
64,61,62,90,Pass (after retake)
62,59,38,45,Summer course (low attendance)
35,34,61,85,Summer course (low mid/end)
67,63,56,80,Pass (after retake)
75,77,99,42,Summer course (low attendance)
66,68,65,90,Pass (after retake)
42,48,42,95,Fail (total < 50)
24,50,81,82,Summer course (low mid/end)
70,67,66,99,Pass (after retake)
52,23,6,73,Fail (total < 45)
64,79,44,47,Summer course (low attendance)
9,39,77,83,Summer course (low mid/end)
14,13,68,88,Summer course (low mid/end)
33,40,76,82,Summer course (low mid/end)
17,47,55,94,Summer course (low mid/end)
66,62,62,97,Pass (after retake)
94,29,10,49,Summer course (Final < 25)
63,54,65,51,Summer course (low attendance)
62,78,18,88,Summer course (Final < 25)
45,55,48,98,FX  (retake opportunity)
12,20,74,100,Summer course (low mid/end)
75,69,39,43,Summer course (low attendance)
43,36,35,77,Fail (total < 50)
98,84,8,69,Summer course (Final < 25)
57,61,57,77,FX  (retake opportunity)
5,58,24,67,Summer course (Final < 25)
45,90,49,48,Summer course (low attendance)
53,51,54,74,FX  (retake opportunity)
94,96,58,41,Summer course (low attendance)
38,22,63,91,Summer course (low mid/end)
14,3,0,46,Fail (total < 45)
75,65,15,98,Summer course (Final < 25)
38,43,46,91,Summer course (low mid/end)
64,66,65,89,Pass (after retake)
49,0,52,86,Summer course (low mid/end)
50,46,28,92,Fail (total < 50)
92,82,46,50,Summer course (low attendance)
71,85,77,87,Pass
73,72,86,55,Summer course (low attendance)
77,82,67,89,Pass
61,96,65,43,Summer course (low attendance)
55,56,58,60,FX  (retake opportunity)
67,83,85,46,Summer course (low attendance)
69,32,11,87,Summer course (Final < 25)
70,63,68,73,Pass (after retake)
55,58,71,87,Pass (after retake)
67,93,8,80,Summer course (Final < 25)
33,49,34,78,Fail (total < 50)
51,68,61,53,Summer course (low attendance)
34,77,26,73,Summer course (Final < 25)
0,34,72,76,Summer course (low mid/end)
44,28,46,63,Fail (total < 50)
90,15,6,62,Summer course (Final < 25)
54,51,9,92,Summer course (Final < 25)
27,22,16,98,Summer course (Final < 25)
85,68,16,72,Summer course (Final < 25)
42,43,44,67,Fail (total < 45)
68,73,66,96,Pass (after retake)
59,51,60,50,Summer course (low attendance)
52,79,64,40,Summer course (low attendance)
57,50,57,88,FX  (retake opportunity)
58,65,68,94,Pass (after retake)
72,83,81,93,Pass
0,20,15,59,Summer course (Final < 25)
77,81,59,55,Summer course (low attendance)
65,60,65,78,Pass (after retake)
75,52,10,70,Summer course (Final < 25)
84,87,71,89,Pass
44,35,62,76,Summer course (low mid/end)
61,66,69,91,Pass (after retake)
74,73,54,47,Summer course (low attendance)
58,57,58,96,FX  (retake opportunity)
72,65,67,96,Pass (after retake)
39,33,10,76,Fail (total < 45)
98,85,76,54,Summer course (low attendance)
78,76,79,86,Pass
61,79,6,66,Summer course (Final < 25)
3,43,53,72,Summer course (low mid/end)
43,42,73,93,Summer course (low mid/end)
62,57,60,97,Pass (after retake)
58,54,61,65,FX  (retake opportunity)
88,19,0,53,Summer course (Final < 25)
22,51,56,91,Summer course (low mid/end)
73,86,22,93,Summer course (Final < 25)
26,43,7,59,Summer course (Final < 25)
47,7,77,81,Summer course (low mid/end)
69,60,61,74,Pass (after retake)
33,37,43,74,Fail (total < 50)
17,61,20,83,Summer course (Final < 25)
51,62,52,79,FX  (retake opportunity)
23,62,20,76,Summer course (Final < 25)
83,75,69,60,Summer course (low attendance)
40,83,15,93,Summer course (Final < 25)
65,60,71,40,Summer course (low attendance)
62,95,83,53,Summer course (low attendance)
41,45,47,40,Summer course (low attendance)
37,96,11,89,Summer course (Final < 25)
100,48,43,52,Summer course (low attendance)
31,74,7,92,Summer course (Final < 25)
71,74,79,52,Summer course (low attendance)
62,61,64,90,Pass (after retake)
15,36,76,75,Summer course (low mid/end)
57,63,92,52,Summer course (low attendance)
30,38,31,67,Fail (total < 45)
44,47,92,57,Summer course (low attendance)
61,73,57,99,Pass (after retake)
62,58,58,75,FX  (retake opportunity)
21,14,69,93,Summer course (low mid/end)
11,90,24,57,Summer course (Final < 25)
67,40,8,59,Summer course (Final < 25)
40,7,51,79,Summer course (low mid/end)
49,88,88,55,Summer course (low attendance)
82,87,77,100,Pass
0,84,0,100,Summer course (Final < 25)
57,65,13,86,Summer course (Final < 25)
22,43,59,89,Summer course (low mid/end)
60,79,38,52,Summer course (low attendance)
5,14,78,90,Summer course (low mid/end)
66,66,9,64,Summer course (Final < 25)
56,49,52,71,FX  (retake opportunity)
68,61,74,48,Summer course (low attendance)
63,44,24,71,Summer course (Final < 25)
0,13,28,66,Fail (total < 45)
38,33,32,79,Fail (total < 50)
65,40,97,58,Summer course (low attendance)
91,51,1,65,Summer course (Final < 25)
71,63,74,96,Pass (after retake)
63,63,71,77,Pass (after retake)
42,44,4,60,Fail (total < 45)
63,66,58,79,Pass (after retake)
59,57,52,97,FX  (retake opportunity)
36,28,66,88,Summer course (low mid/end)
54,67,22,58,Summer course (Final < 25)
83,77,76,59,Summer course (low attendance)
16,13,57,87,Summer course (low mid/end)
28,36,49,97,Summer course (low mid/end)
75,2,2,100,Summer course (Final < 25)
49,49,74,46,Summer course (low attendance)
80,13,24,80,Summer course (Final < 25)
98,53,94,55,Summer course (low attendance)
20,5,60,70,Summer course (low mid/end)
81,71,41,54,Summer course (low attendance)
34,12,66,93,Summer course (low mid/end)
8,58,12,79,Summer course (Final < 25)
76,78,20,59,Summer course (Final < 25)
21,6,56,74,Summer course (low mid/end)
53,53,62,80,FX  (retake opportunity)
39,9,12,62,Summer course (Final < 25)
19,94,3,87,Summer course (Final < 25)
75,97,71,46,Summer course (low attendance)
66,74,65,81,Pass (after retake)
58,66,66,95,Pass (after retake)
64,66,69,51,Summer course (low attendance)
39,28,32,61,Fail (total < 50)
73,61,66,89,Pass (after retake)
66,62,71,75,Pass (after retake)
66,68,67,77,Pass (after retake)
2,30,25,63,Fail (total < 45)
11,15,55,97,Summer course (low mid/end)
59,49,59,65,FX  (retake opportunity)
22,35,61,83,Summer course (low mid/end)
21,24,38,56,Fail (total < 45)
50,56,95,52,Summer course (low attendance)
46,0,23,40,Fail (total < 45)
56,50,56,80,FX  (retake opportunity)
64,87,64,48,Summer course (low attendance)
32,33,8,96,Summer course (Final < 25)
91,16,8,81,Summer course (Final < 25)
34,28,74,74,Summer course (low mid/end)
49,51,51,71,FX  (retake opportunity)
64,88,13,79,Summer course (Final < 25)
11,11,22,86,Summer course (Final < 25)
92,65,12,86,Summer course (Final < 25)
80,44,68,59,Summer course (low attendance)
38,40,45,74,Fail (total < 50)
2,5,63,88,Summer course (low mid/end)
50,71,58,40,Summer course (low attendance)
12,8,35,75,Fail (total < 45)
67,61,66,73,Pass (after retake)
9,72,0,63,Summer course (Final < 25)
60,68,61,73,Pass (after retake)
67,70,61,97,Pass (after retake)
57,53,50,96,FX  (retake opportunity)
63,68,57,89,Pass (after retake)
70,89,86,95,Pass
20,15,70,88,Summer course (low mid/end)
74,69,72,92,Pass (after retake)
70,52,77,45,Summer course (low attendance)
33,61,19,59,Summer course (Final < 25)
26,10,63,71,Summer course (low mid/end)
56,54,67,50,Summer course (low attendance)
65,66,66,96,Pass (after retake)
21,40,28,58,Fail (total < 45)
58,90,100,46,Summer course (low attendance)
50,51,60,87,FX  (retake opportunity)
2,42,51,82,Summer course (low mid/end)
9,8,23,78,Summer course (Final < 25)
90,48,76,53,Summer course (low attendance)
71,67,62,95,Pass (after retake)
5,19,16,80,Summer course (Final < 25)
57,48,7,99,Summer course (Final < 25)
62,58,59,78,Pass (after retake)
71,73,74,100,Pass
51,89,0,92,Summer course (Final < 25)
83,48,83,44,Summer course (low attendance)
67,72,39,44,Summer course (low attendance)
79,87,82,81,Pass
45,55,50,83,FX  (retake opportunity)
32,37,59,70,Summer course (low mid/end)
74,72,11,88,Summer course (Final < 25)
63,94,61,50,Summer course (low attendance)
45,44,35,70,Fail (total < 50)
72,80,73,98,Pass
65,79,23,79,Summer course (Final < 25)
82,79,84,86,Pass
60,64,62,88,Pass (after retake)
7,36,51,96,Summer course (low mid/end)
52,36,35,59,Fail (total < 50)
55,55,0,75,Summer course (Final < 25)
71,89,79,92,Pass
55,57,55,97,FX  (retake opportunity)
54,57,60,61,FX  (retake opportunity)
68,38,72,54,Summer course (low attendance)
50,47,79,45,Summer course (low attendance)
51,55,50,62,FX  (retake opportunity)
6,29,32,56,Fail (total < 45)
60,51,50,97,FX  (retake opportunity)
63,81,26,72,Summer course (Final < 25)
92,67,47,48,Summer course (low attendance)
15,22,11,96,Summer course (Final < 25)
92,26,7,80,Summer course (Final < 25)
54,59,43,54,Summer course (low attendance)
38,80,7,94,Summer course (Final < 25)
52,51,51,68,FX  (retake opportunity)
48,74,88,54,Summer course (low attendance)
31,12,58,90,Summer course (low mid/end)
54,70,90,50,Summer course (low attendance)
18,42,73,70,Summer course (low mid/end)
86,97,43,47,Summer course (low attendance)
58,62,65,89,Pass (after retake)
50,18,13,100,Summer course (Final < 25)
59,58,66,79,Pass (after retake)
28,34,35,68,Fail (total < 50)
13,4,57,98,Summer course (low mid/end)
41,45,42,68,Fail (total < 50)
24,56,8,68,Summer course (Final < 25)
42,1,4,96,Summer course (Final < 25)
92,62,81,43,Summer course (low attendance)
67,69,63,100,Pass (after retake)
30,52,46,74,Fail (total < 50)
75,82,91,82,Pass
31,17,10,64,Summer course (Final < 25)
50,57,51,83,FX  (retake opportunity)
69,66,69,74,Pass (after retake)
90,33,20,92,Summer course (Final < 25)
41,7,57,92,Summer course (low mid/end)
58,49,86,57,Summer course (low attendance)
55,91,72,54,Summer course (low attendance)
43,46,77,79,Summer course (low mid/end)
45,7,17,52,Fail (total < 45)
79,14,24,87,Summer course (Final < 25)
22,47,0,67,Summer course (Final < 25)
0,52,16,100,Summer course (Final < 25)
0,93,11,77,Summer course (Final < 25)
22,20,82,96,Summer course (low mid/end)
35,43,43,96,Fail (total < 50)
76,69,75,57,Summer course (low attendance)
43,38,17,59,Summer course (Final < 25)
54,100,38,55,Summer course (low attendance)
100,19,8,80,Summer course (Final < 25)
100,96,1,53,Summer course (Final < 25)
12,26,81,77,Summer course (low mid/end)
17,18,63,90,Summer course (low mid/end)
7,21,77,87,Summer course (low mid/end)
93,91,95,97,Scholarship
39,26,54,87,Summer course (low mid/end)
20,44,56,73,Summer course (low mid/end)
49,52,52,84,FX  (retake opportunity)
56,61,71,86,Pass (after retake)
45,94,82,51,Summer course (low attendance)
39,37,32,89,Fail (total < 50)
23,10,0,70,Fail (total < 45)
92,88,97,100,Scholarship
23,26,73,72,Summer course (low mid/end)
86,79,89,44,Summer course (low attendance)
52,97,16,90,Summer course (Final < 25)
55,59,58,69,FX  (retake opportunity)
21,42,71,86,Summer course (low mid/end)
3,47,69,80,Summer course (low mid/end)
39,11,62,97,Summer course (low mid/end)
54,59,61,76,FX  (retake opportunity)
48,91,59,40,Summer course (low attendance)
26,26,0,67,Summer course (Final < 25)
84,78,59,54,Summer course (low attendance)
71,54,92,50,Summer course (low attendance)
25,30,37,61,Fail (total < 50)
24,17,47,95,Summer course (low mid/end)
43,47,48,49,Summer course (low attendance)
79,78,76,86,Pass
43,39,36,91,Fail (total < 50)
64,67,60,96,Pass (after retake)
88,95,14,94,Summer course (Final < 25)
36,90,17,82,Summer course (Final < 25)
91,48,75,49,Summer course (low attendance)
99,53,24,89,Summer course (Final < 25)
84,89,60,55,Summer course (low attendance)
51,59,58,89,FX  (retake opportunity)
34,62,19,71,Summer course (Final < 25)
70,89,0,100,Summer course (Final < 25)
84,30,18,57,Summer course (Final < 25)
81,59,25,58,Summer course (Final < 25)
4,11,16,85,Summer course (Final < 25)
66,59,66,93,Pass (after retake)
17,92,6,87,Summer course (Final < 25)
30,16,56,67,Summer course (low mid/end)
52,58,82,55,Summer course (low attendance)
25,39,65,77,Summer course (low mid/end)
69,77,63,40,Summer course (low attendance)
67,25,21,54,Summer course (Final < 25)
55,57,49,65,FX  (retake opportunity)
55,45,79,51,Summer course (low attendance)
50,53,63,88,FX  (retake opportunity)
56,49,54,79,FX  (retake opportunity)
2,18,59,88,Summer course (low mid/end)
53,94,65,59,Summer course (low attendance)
2,18,68,98,Summer course (low mid/end)
57,75,60,51,Summer course (low attendance)
58,53,51,74,FX  (retake opportunity)
52,70,67,55,Summer course (low attendance)
96,72,79,40,Summer course (low attendance)
84,76,72,87,Pass
52,64,49,52,Summer course (low attendance)
28,15,54,95,Summer course (low mid/end)
14,23,71,96,Summer course (low mid/end)
52,77,100,46,Summer course (low attendance)
70,4,8,92,Summer course (Final < 25)
0,71,16,54,Summer course (Final < 25)
46,51,88,43,Summer course (low attendance)
41,42,90,59,Summer course (low attendance)
44,42,52,51,Summer course (low attendance)
39,51,58,74,Summer course (low mid/end)
45,87,21,52,Summer course (Final < 25)
31,49,47,91,Summer course (low mid/end)
26,4,51,96,Summer course (low mid/end)
10,2,83,76,Summer course (low mid/end)
71,86,63,47,Summer course (low attendance)
63,62,66,88,Pass (after retake)
4,13,82,80,Summer course (low mid/end)
33,9,76,74,Summer course (low mid/end)
89,42,100,58,Summer course (low attendance)
67,64,93,44,Summer course (low attendance)
62,73,15,87,Summer course (Final < 25)
100,18,11,66,Summer course (Final < 25)
2,2,9,49,Summer course (Final < 25)
56,52,51,84,FX  (retake opportunity)
51,52,57,95,FX  (retake opportunity)
36,44,59,56,Summer course (low attendance)
74,68,66,91,Pass (after retake)
35,36,34,82,Fail (total < 50)
31,38,64,75,Summer course (low mid/end)
100,77,17,79,Summer course (Final < 25)
49,47,34,70,Fail (total < 50)
10,51,74,72,Summer course (low mid/end)
44,96,98,49,Summer course (low attendance)
68,63,63,95,Pass (after retake)
69,65,63,91,Pass (after retake)
56,58,57,40,Summer course (low attendance)
87,1,20,91,Summer course (Final < 25)
79,84,72,77,Pass
87,41,16,55,Summer course (Final < 25)
54,37,0,58,Summer course (Final < 25)
63,60,57,89,FX  (retake opportunity)
44,49,94,51,Summer course (low attendance)
76,65,58,41,Summer course (low attendance)
94,84,18,87,Summer course (Final < 25)
81,92,100,51,Summer course (low attendance)
66,22,7,68,Summer course (Final < 25)
70,64,67,79,Pass (after retake)
92,52,70,40,Summer course (low attendance)
23,42,3,68,Summer course (Final < 25)
42,6,32,50,Fail (total < 45)
63,59,64,99,Pass (after retake)
72,73,53,46,Summer course (low attendance)
21,5,71,87,Summer course (low mid/end)
89,88,50,53,Summer course (low attendance)
60,78,7,72,Summer course (Final < 25)
7,34,68,93,Summer course (low mid/end)
50,47,50,96,FX  (retake opportunity)
4,56,21,82,Summer course (Final < 25)
80,7,6,63,Summer course (Final < 25)
28,28,12,55,Fail (total < 45)
89,48,54,52,Summer course (low attendance)
37,20,11,51,Summer course (Final < 25)
50,47,52,82,FX  (retake opportunity)
73,68,69,90,Pass (after retake)
63,6,21,66,Summer course (Final < 25)
40,26,23,80,Summer course (Final < 25)
46,52,63,58,Summer course (low attendance)
45,11,64,96,Summer course (low mid/end)
94,23,12,80,Summer course (Final < 25)
7,25,14,72,Fail (total < 45)
53,53,56,66,FX  (retake opportunity)
54,66,45,52,Summer course (low attendance)
60,87,19,76,Summer course (Final < 25)
6,26,80,89,Summer course (low mid/end)
6,27,12,66,Fail (total < 45)
8,15,76,95,Summer course (low mid/end)
33,42,57,80,Summer course (low mid/end)
33,7,21,54,Summer course (Final < 25)
61,53,56,88,FX  (retake opportunity)
49,76,19,84,Summer course (Final < 25)
40,76,43,44,Summer course (low attendance)
67,63,65,93,Pass (after retake)
66,66,62,86,Pass (after retake)
36,53,35,96,Fail (total < 50)
20,0,1,56,Summer course (Final < 25)
11,87,6,93,Summer course (Final < 25)
64,76,46,50,Summer course (low attendance)
72,22,27,99,Summer course (Final < 25)
48,29,16,77,Summer course (Final < 25)
6,52,3,100,Summer course (Final < 25)
33,16,23,42,Fail (total < 45)
29,34,4,55,Summer course (Final < 25)
65,69,57,85,Pass (after retake)
59,52,58,84,FX  (retake opportunity)
40,48,40,78,Fail (total < 50)
14,37,54,72,Summer course (low mid/end)
32,38,44,90,Fail (total < 50)
36,20,79,89,Summer course (low mid/end)
7,52,0,52,Summer course (Final < 25)
64,51,59,40,Summer course (low attendance)
100,89,38,55,Summer course (low attendance)
40,30,38,94,Fail (total < 50)
71,37,8,59,Summer course (Final < 25)
95,49,0,55,Summer course (Final < 25)
99,63,45,40,Summer course (low attendance)
42,87,72,55,Summer course (low attendance)
42,70,16,51,Summer course (Final < 25)
51,72,22,73,Summer course (Final < 25)
17,0,67,93,Summer course (low mid/end)
83,87,70,87,Pass
75,87,89,80,Pass
63,76,81,58,Summer course (low attendance)
57,54,57,87,FX  (retake opportunity)
29,32,64,100,Summer course (low mid/end)
53,51,50,71,FX  (retake opportunity)
44,14,57,83,Summer course (low mid/end)
94,62,81,51,Summer course (low attendance)
72,14,21,59,Summer course (Final < 25)
48,70,12,50,Summer course (Final < 25)
27,43,61,100,Summer course (low mid/end)
82,49,47,48,Summer course (low attendance)
100,94,67,58,Summer course (low attendance)
69,87,65,40,Summer course (low attendance)
37,24,72,81,Summer course (low mid/end)
12,35,45,57,Fail (total < 45)
31,12,54,89,Summer course (low mid/end)
48,51,50,69,FX  (retake opportunity)
89,93,39,43,Summer course (low attendance)
78,77,12,56,Summer course (Final < 25)
60,59,57,81,FX  (retake opportunity)
52,51,54,63,FX  (retake opportunity)
45,49,18,68,Summer course (Final < 25)
58,58,56,88,FX  (retake opportunity)
44,74,8,79,Summer course (Final < 25)
52,57,0,96,Summer course (Final < 25)
56,45,60,88,FX  (retake opportunity)
79,50,85,49,Summer course (low attendance)
87,88,0,92,Summer course (Final < 25)
63,68,63,69,Pass (after retake)
73,73,59,47,Summer course (low attendance)
73,63,59,76,Pass (after retake)
71,56,67,46,Summer course (low attendance)
91,74,93,100,Pass
51,4,13,67,Fail (total < 45)
65,6,15,95,Summer course (Final < 25)
59,49,59,93,FX  (retake opportunity)
21,6,22,54,Fail (total < 45)
1,32,35,49,Fail (total < 45)
70,46,64,51,Summer course (low attendance)
64,67,65,76,Pass (after retake)
99,47,91,59,Summer course (low attendance)
89,68,56,44,Summer course (low attendance)
16,4,55,94,Summer course (low mid/end)
65,57,67,97,Pass (after retake)
57,61,56,76,FX  (retake opportunity)
73,91,80,94,Pass
3,41,5,95,Summer course (Final < 25)
97,87,54,55,Summer course (low attendance)
52,45,63,63,FX  (retake opportunity)
14,32,60,80,Summer course (low mid/end)
93,66,12,56,Summer course (Final < 25)
71,68,62,88,Pass (after retake)
73,90,48,46,Summer course (low attendance)
17,0,51,74,Summer course (low mid/end)
19,45,65,90,Summer course (low mid/end)
49,95,89,49,Summer course (low attendance)
51,34,55,89,Summer course (low mid/end)
26,2,82,80,Summer course (low mid/end)
60,93,69,45,Summer course (low attendance)
85,79,77,97,Pass
53,7,8,65,Summer course (Final < 25)
41,65,0,73,Summer course (Final < 25)
41,47,37,100,Fail (total < 50)
61,69,71,80,Pass (after retake)
64,53,54,92,FX  (retake opportunity)
64,60,71,76,Pass (after retake)
62,68,44,42,Summer course (low attendance)
100,46,5,77,Summer course (Final < 25)
55,63,60,89,Pass (after retake)
21,66,7,55,Summer course (Final < 25)
82,91,11,60,Summer course (Final < 25)
67,64,68,89,Pass (after retake)
47,70,93,42,Summer course (low attendance)
5,13,16,82,Summer course (Final < 25)
29,0,70,80,Summer course (low mid/end)
71,81,96,53,Summer course (low attendance)
57,53,48,59,FX  (retake opportunity)
84,78,9,55,Summer course (Final < 25)
56,19,23,89,Summer course (Final < 25)
30,39,42,95,Fail (total < 50)
85,4,12,91,Summer course (Final < 25)
25,32,46,71,Fail (total < 45)
40,18,9,52,Fail (total < 45)
69,66,64,78,Pass (after retake)
83,82,45,48,Summer course (low attendance)
27,44,70,72,Summer course (low mid/end)
61,64,65,73,Pass (after retake)
62,61,74,52,Summer course (low attendance)
68,69,67,75,Pass (after retake)
20,43,8,62,Summer course (Final < 25)
58,54,51,76,FX  (retake opportunity)
100,57,90,53,Summer course (low attendance)
83,73,9,79,Summer course (Final < 25)
36,38,60,78,Summer course (low mid/end)
97,73,83,53,Summer course (low attendance)
78,72,74,81,Pass
3,24,54,87,Summer course (low mid/end)
22,53,12,50,Fail (total < 45)
87,77,12,59,Summer course (Final < 25)
74,83,82,93,Pass
64,63,71,74,Pass (after retake)
27,28,6,95,Summer course (Final < 25)
41,16,47,78,Summer course (low mid/end)
72,16,10,73,Summer course (Final < 25)
62,53,53,99,FX  (retake opportunity)
23,32,19,58,Summer course (Final < 25)
64,74,2,96,Summer course (Final < 25)
65,64,66,87,Pass (after retake)
42,53,81,57,Summer course (low attendance)
0,27,56,83,Summer course (low mid/end)
80,82,55,44,Summer course (low attendance)
85,97,5,57,Summer course (Final < 25)
70,59,93,52,Summer course (low attendance)
66,66,60,94,Pass (after retake)
76,88,83,47,Summer course (low attendance)
74,85,94,42,Summer course (low attendance)
37,33,44,60,Fail (total < 45)
56,70,62,43,Summer course (low attendance)
57,85,22,61,Summer course (Final < 25)
26,38,56,95,Summer course (low mid/end)
23,34,61,80,Summer course (low mid/end)
60,64,96,49,Summer course (low attendance)
81,87,80,95,Pass
43,64,78,51,Summer course (low attendance)
60,66,60,77,Pass (after retake)
28,4,70,95,Summer course (low mid/end)
58,57,67,71,Pass (after retake)
39,47,72,78,Summer course (low mid/end)
86,98,82,48,Summer course (low attendance)
10,8,59,99,Summer course (low mid/end)
94,100,90,100,Scholarship
14,14,60,98,Summer course (low mid/end)
30,0,56,87,Summer course (low mid/end)
88,76,77,97,Pass
49,44,40,62,Fail (total < 50)
24,24,57,100,Summer course (low mid/end)
98,96,94,96,Scholarship
73,57,65,70,Pass (after retake)
16,6,69,93,Summer course (low mid/end)
2,20,68,92,Summer course (low mid/end)
68,46,9,81,Summer course (Final < 25)
66,66,70,74,Pass (after retake)
55,63,55,97,FX  (retake opportunity)
56,71,95,56,Summer course (low attendance)
34,32,57,86,Summer course (low mid/end)
34,14,68,82,Summer course (low mid/end)
64,40,77,44,Summer course (low attendance)
43,42,15,91,Summer course (Final < 25)
86,81,36,52,Summer course (low attendance)
45,16,5,61,Summer course (Final < 25)
90,4,5,90,Summer course (Final < 25)
0,54,64,70,Summer course (low mid/end)
42,67,56,57,Summer course (low attendance)
24,48,12,100,Summer course (Final < 25)
53,52,53,67,FX  (retake opportunity)
12,27,8,97,Summer course (Final < 25)
39,28,64,90,Summer course (low mid/end)
4,50,52,69,Summer course (low mid/end)
47,93,82,58,Summer course (low attendance)
69,64,61,97,Pass (after retake)
33,27,67,94,Summer course (low mid/end)
49,29,71,88,Summer course (low mid/end)
81,87,86,84,Pass
46,51,19,54,Summer course (Final < 25)
92,93,82,40,Summer course (low attendance)
34,28,72,79,Summer course (low mid/end)
47,34,41,74,Fail (total < 50)
35,37,67,88,Summer course (low mid/end)
79,62,76,59,Summer course (low attendance)
48,45,28,99,Fail (total < 50)
66,84,61,54,Summer course (low attendance)
52,13,63,79,Summer course (low mid/end)
34,34,27,83,Fail (total < 50)
45,48,30,94,Fail (total < 50)
92,65,88,52,Summer course (low attendance)
38,35,38,93,Fail (total < 50)
67,57,62,77,Pass (after retake)
40,14,79,85,Summer course (low mid/end)
13,31,0,70,Summer course (Final < 25)
74,29,20,73,Summer course (Final < 25)
65,68,70,93,Pass (after retake)
57,59,69,47,Summer course (low attendance)
1,23,9,46,Fail (total < 45)
57,51,53,86,FX  (retake opportunity)
93,75,14,76,Summer course (Final < 25)
53,43,85,47,Summer course (low attendance)
12,98,16,50,Summer course (Final < 25)
12,7,22,50,Summer course (Final < 25)
83,90,11,62,Summer course (Final < 25)
63,66,73,82,Pass (after retake)
70,80,72,86,Pass
38,17,67,85,Summer course (low mid/end)
21,36,79,92,Summer course (low mid/end)
97,80,84,40,Summer course (low attendance)
22,53,6,49,Summer course (Final < 25)
62,63,65,96,Pass (after retake)
15,20,20,97,Summer course (Final < 25)
67,59,68,76,Pass (after retake)
39,89,70,45,Summer course (low attendance)
51,50,54,94,FX  (retake opportunity)
37,67,67,54,Summer course (low attendance)
23,7,52,82,Summer course (low mid/end)
47,56,58,96,FX  (retake opportunity)
37,51,56,54,Summer course (low attendance)
39,44,31,69,Fail (total < 50)
20,30,73,90,Summer course (low mid/end)
35,35,47,100,Fail (total < 50)
77,84,88,46,Summer course (low attendance)
16,9,36,40,Fail (total < 45)
56,47,73,52,Summer course (low attendance)
62,66,68,94,Pass (after retake)
19,20,63,93,Summer course (low mid/end)
48,27,11,71,Summer course (Final < 25)
47,56,47,78,FX  (retake opportunity)
0,44,73,82,Summer course (low mid/end)
60,58,51,71,FX  (retake opportunity)
